"sampno","R0","gamma","lnlike"
1,3,0.12,-1207.362325706
2,3,0.12,-1207.362325706
3,3,0.0718968931632116,-208.115501988891
4,3,0.0718968931632116,-208.115501988891
5,3,0.0570588814374059,-158.586333764625
6,3,0.0570588814374059,-158.586333764625
7,3,0.0570588814374059,-158.586333764625
8,3,0.0570588814374059,-158.586333764625
9,3,0.0570588814374059,-158.586333764625
10,3.10257883344311,0.0570588814374059,-147.651516112706
11,3.10257883344311,0.0570588814374059,-147.651516112706
12,3.10257883344311,0.0570588814374059,-147.651516112706
13,3.10257883344311,0.0570588814374059,-147.651516112706
14,3.10257883344311,0.0570588814374059,-147.651516112706
15,3.10257883344311,0.0570588814374059,-147.651516112706
16,3.10257883344311,0.0570588814374059,-147.651516112706
17,3.10257883344311,0.0570588814374059,-147.651516112706
18,3.18242615838535,0.0570588814374059,-147.418308142195
19,3.18242615838535,0.0570588814374059,-147.418308142195
20,3.18242615838535,0.0570588814374059,-147.418308142195
21,3.18242615838535,0.0570588814374059,-147.418308142195
22,3.18242615838535,0.0570588814374059,-147.418308142195
23,3.18242615838535,0.0570588814374059,-147.418308142195
24,3.18242615838535,0.0570588814374059,-147.418308142195
25,3.18242615838535,0.0570588814374059,-147.418308142195
26,3.18242615838535,0.0570588814374059,-147.418308142195
27,3.18242615838535,0.0570588814374059,-147.418308142195
28,3.18242615838535,0.0570588814374059,-147.418308142195
29,3.18242615838535,0.0570588814374059,-147.418308142195
30,3.18242615838535,0.0570588814374059,-147.418308142195
31,3.18242615838535,0.0570588814374059,-147.418308142195
32,3.18242615838535,0.0570588814374059,-147.418308142195
33,3.18242615838535,0.0570588814374059,-147.418308142195
34,3.18242615838535,0.0570588814374059,-147.418308142195
35,3.18242615838535,0.0570588814374059,-147.418308142195
36,3.18242615838535,0.0570588814374059,-147.418308142195
37,3.18242615838535,0.0570588814374059,-147.418308142195
38,3.18242615838535,0.0570588814374059,-147.418308142195
39,3.18242615838535,0.0570588814374059,-147.418308142195
40,3.18242615838535,0.0570588814374059,-147.418308142195
41,3.18242615838535,0.0570588814374059,-147.418308142195
42,3.18242615838535,0.0570588814374059,-147.418308142195
43,3.18242615838535,0.0570588814374059,-147.418308142195
44,3.18242615838535,0.0570588814374059,-147.418308142195
45,3.18242615838535,0.0570588814374059,-147.418308142195
46,3.18242615838535,0.0570588814374059,-147.418308142195
47,3.18242615838535,0.0560273793106899,-147.780487248998
48,3.18242615838535,0.0560273793106899,-147.780487248998
49,3.18242615838535,0.0560273793106899,-147.780487248998
50,3.18242615838535,0.0560273793106899,-147.780487248998
51,3.18242615838535,0.0560273793106899,-147.780487248998
52,3.21849881380331,0.0560273793106899,-148.276319411876
53,3.21849881380331,0.0560273793106899,-148.276319411876
54,3.21849881380331,0.0560273793106899,-148.276319411876
55,3.21849881380331,0.0560273793106899,-148.276319411876
56,3.21849881380331,0.0560273793106899,-148.276319411876
57,3.21849881380331,0.0560273793106899,-148.276319411876
58,3.21849881380331,0.0560273793106899,-148.276319411876
59,3.21849881380331,0.0560273793106899,-148.276319411876
60,3.21849881380331,0.0560273793106899,-148.276319411876
61,3.21849881380331,0.0560273793106899,-148.276319411876
62,3.21849881380331,0.0560273793106899,-148.276319411876
63,3.21849881380331,0.0560273793106899,-148.276319411876
64,3.21849881380331,0.0560273793106899,-148.276319411876
65,3.21849881380331,0.0560273793106899,-148.276319411876
66,3.21849881380331,0.0560273793106899,-148.276319411876
67,3.21849881380331,0.0560273793106899,-148.276319411876
68,3.21849881380331,0.0560273793106899,-148.276319411876
69,3.21849881380331,0.0560273793106899,-148.276319411876
70,3.21849881380331,0.0560273793106899,-148.276319411876
71,3.21849881380331,0.0560273793106899,-148.276319411876
72,3.21849881380331,0.0560273793106899,-148.276319411876
73,3.21849881380331,0.0560273793106899,-148.276319411876
74,3.21849881380331,0.0560273793106899,-148.276319411876
75,3.21849881380331,0.0560273793106899,-148.276319411876
76,3.20782574233599,0.0560273793106899,-147.990012813962
77,3.20782574233599,0.0560273793106899,-147.990012813962
78,3.20782574233599,0.0560273793106899,-147.990012813962
79,3.20782574233599,0.0560273793106899,-147.990012813962
80,3.20782574233599,0.0560273793106899,-147.990012813962
81,3.20782574233599,0.0560273793106899,-147.990012813962
82,3.20782574233599,0.0560273793106899,-147.990012813962
83,3.20782574233599,0.0560273793106899,-147.990012813962
84,3.18702028831467,0.0560273793106899,-147.768631159161
85,3.18702028831467,0.0560273793106899,-147.768631159161
86,3.18702028831467,0.0560273793106899,-147.768631159161
87,3.18702028831467,0.0560273793106899,-147.768631159161
